Ename,identity,certigierCertificateNo,certigierName
昌治化工,99100000DBNCD9327H,362432195710181598,全维
河蛇药业,921000001C997KLW2E,362426198411212178,程锦
景诗电气,991000002CR57U1N74,362427199806131330,缑凯雪
方泪电气,99100000K84Z5CFJ6A,110106202002082252,巫贝民
天喵化工,99100000W5FWAK8XXT,362424199512152188,常聪
宁鸣科技,92100000EZNELCWN8J,110100200108222121,红笑爽
济电电信,93100000TNUWBK1XX4,110109199409251868,禄兰
太我影业,93100000FZM9UPYT2A,362432201801111243,公孙上生
市大化工,911000008C30ZLDR9G,36242820180807281X,赏友影
福逼服饰,92100000348ZR05Z14,362423197108192828,东方歌桂
天泪集团,93100000WKCYPXR733,11010320160710297X,奚明
元年矿业,99100000EH5T2G095H,362421200001171383,蓝昭
泰我公司,99100000A2E2BKNBXK,110105196405182093,晋玉
州放重工,92100000G33Q0LJ8XC,362428198406161903,汲无功
康快重工,91100000F3HNPWQG7P,362428202003151718,微生都伊
程师化工,91100000PNMAL5FP1P,110101197101192355,谢峰
景草重工,91100000WQF648AJ96,362423199605201042,昝易先
广泪服饰,911000002Y2AG9JP13,110101199708051363,卜卡建
亨佐建材,92100000G1LAZCXL67,110103197210292105,柴义有
天治汽车,91100000A4K0YE821R,110103196106302815,柯卡天
显我影业,93100000DKE5CAU09W,110111195604241730,隗士
康校科技,93100000QK60JWZD3D,362424194907211637,狄金发
显诗汽车,91100000Z055C68L63,110109201102012440,红雅
业诗食品,92100000D7YME20LXJ,36242819640803276X,养峰
山师矿业,93100000K0WTZXBT4K,362428195008122083,红河
建老重工,991000008P2324R777,362421200007051219,汝钧
建逼证券,99100000PT24P6QN4U,110109200508182235,娄都岩
济歌食品,92100000MUHWW6DT2X,362421197607201555,万珍
镇老公司,93100000CQW9PLAH75,110107200707311980,雍凝
昭佐电气,99100000ERHEHMZF72,110111197102022705,孙笑功
福眼重工,93100000PLE7CCBU1C,110108195112101450,后加江
宝济矿业,92100000GTJWCLJ20Z,110104199711111418,魏贵
城电汽车,99100000GWL5G9714U,110107195405252627,洪凯影
地济电信,93100000A6CDTYXK2E,36242420060402201X,陆悦
鑫蛇汽车,93100000RWP4HXUL7B,110104196902012451,富礼雁
康倥汽车,92100000YAFCNREY6C,110102197505032127,谷美
镇放公司,93100000K1NR8J18XE,110104198808232895,匡枝
地风公司,99100000WY84UE55XT,110106197611051933,朱馨
亨或酒店,92100000PULQFF6D11,110109200908202919,宓中
福坦建材,92100000GB6KMLPL4G,362424200207142851,红钰善
昌学矿业,99100000C8N69QMY6X,362422201606291450,孟义进
记佐化工,931000005YWMAT8L6C,110100200003151347,仉督忠红
初经汽车,921000007L6U01XW66,362421197404202266,花电兰
镇橙科技,991000001FH6ZUXW5Q,362425197805261932,卢好真
德大药业,93100000NYYHJ3UF0B,36242920140613237X,索器树
永葡建材,91100000LD43JGF19R,362422195108071406,丘好山
宝倥矿业,931000004A18XFA40T,362430198907292209,贺瑗
广泪证券,93100000M6A6BP0F4K,110100198207091868,萧鹏
业眼药业,991000003TU2DGHQ7W,110108195110182315,丘东信亚
鑫歌药业,99100000ZX4YPQJT4G,110102197102011946,沙歌悦
昭治重工,9110000041PU27RX6E,110105196110302107,水智发
太逼药业,91100000YPGMKH0U1L,110111196407171977,梁育
元倥化工,99100000YD1U9WND4K,110103201603011659,水媛
福葡证券,99100000HWR8MNYN4T,362423201503011651,利卡诚
程师科技,9210000082L6KQ9M6D,362428198712072555,谯都之
平经重工,93100000QNDGPYJW46,110101200609301932,龙友中
天快酒店,911000000JUWY7GRX8,362402201512201666,沙欣
庆世酒店,99100000J368LH9Z7C,362421195301012620,衡富
本侗科技,931000003UB4F48R2T,110102199704072323,庾菲
业飞酒店,99100000H4KQDEZR6L,110102201607132363,杜莺
嘉学矿业,92100000FKJ8AK451J,362402198706191203,储易瑶
州喵化工,9310000008R9YM741M,110103197006152745,胡信桂
康蛇电信,99100000QD6AE4JYX4,110102195508241013,闵馥
河鸣公司,93100000FQ6ZR1JW9W,362430198805031710,鲁士
泰年工程,9210000081LMQMEQ13,110111196111291179,殴都言
太泪酒店,99100000YAPHY25DXF,362430197311271373,管友荷
鑫泪酒店,99100000D9839JJU9N,110102197006072036,殴钰航
方我电信,991000002GKEY3ZK54,110109199906241062,项影
开二重工,92100000ZZ5LHZMR1H,110111194903162587,束家
耀电科技,911000007G4EJ9UR93,110108196401261325,裴凯薇
州或服饰,92100000MQP5WLCQ7E,11010920080828139X,龙义世
明鬼药业,99100000ELW0QNHD11,110105200904061690,项巧
业大矿业,99100000E12EALAN5Z,110108201804052280,禄加诚
和我证券,9310000035EXH0TWXZ,110101200108011347,毋贝钧
运风汽车,99100000JY7TTFAH2G,362425196108292931,于都宁
