Ename2,identity2,certigierCertificateNo2,certigierName2
中宝建材,987654321000005853,31011419700123377X,萧姗姗
天庆生物,914301007121984812,120101198611075470,玄丝娜
正鑫工程,98765432100000016J,310114197001235054,厉翠萍
永嘉影业,98765432100000024D,310114197001238597,晏皓洁
光城电子,987654321000000328,310114197001238896,冀娅清
同兴电气,9876543210000004B5,310114197001239338,甘梓馨
天鑫证券,987654321000000590,310114197001232793,索影梅
开宁工业,98765432100000067T,310114197001233331,宓忆梅
初庆证券,98765432100000075M,310114197001235839,庾玄雅
广嘉餐饮集团,98765432100000083G,310114197001238757,蔚彤彤
泰达食品,98765432100000091B,310114197001233112,池千秋
本平酒店连锁,987654321000001041,310114197001230915,弘若珑
天鑫化工,98765432100000112U,310114197001233833,段萍韵
昭鑫科技,9876543210000012BQ,310114197001231571,訾从霜
正宝酒店连锁,98765432100000139K,310114197001231010,索巧风
中福服饰,98765432100000147E,310114197001233235,董雨花
延鑫餐饮集团,987654321000001559,310114197001237594,董丁辰
正元电器,987654321000001634,31011419700123545X,欧巧茹
光初影业,98765432100000171Y,31011419700123801X,甘乐儿
泰河影业,9876543210000018AU,310114197001231010,蒋语雪
延济食品,98765432100000198N,310114197001235652,熊暄婷
正港电子,9876543210000020BC,310114197001238036,禄颖馨
泰泽服饰,987654321000002197,310114197001237738,马杨梅
广记电气,987654321000002272,310114197001230771,步雪环
广地食品,98765432100000235W,310114197001231897,师端丽
光地生物,98765432100000243P,310114197001230675,傅巧春
显嘉药业,98765432100000251J,310114197001233892,松梓珊
章泽医疗,9876543210000026AF,310114197001232515,侯婉燕
天昌药业,98765432100000278A,310114197001238132,薛小凝
同平建设,987654321000002865,310114197001235556,那言文
广方手机,987654321000002940,310114197001230472,向梦洁
章济汽车,98765432100000307M,310114197001232777,扈雁梅
初亨电信,98765432100000315G,310114197001231731,曾兰尹
昭亨电气,98765432100000323B,310114197001235513,暨含巧
本庆证券,987654321000003316,310114197001231379,卓娅静
建福化工,9876543210000034A3,310114197001230632,巴寒安
章市汽车,98765432100000358X,310114197001234852,祖凡桃
天镇工程,98765432100000366Q,310114197001234131,庾嘉月
显康电信,98765432100000374K,310114197001233956,后雅绿
广泽电信,98765432100000382E,310114197001230691,简听莲
正港服饰,9876543210000039BB,31011419700123289X,邓娅静
本港科技,98765432100000403Y,31011419700123705X,汲真文
泰耀服饰,98765432100000411R,310114197001231598,侯桃雨
光鑫重工,9876543210000042AN,310114197001236719,魏双玉
章建工业,98765432100000438H,310114197001238618,伊子珍
昭庆汽车,98765432100000446C,310114197001232611,钟素洁
天初药业,987654321000004547,310114197001239936,牛芸欣
永元公司,987654321000004622,310114197001236217,江幼南
